Product Name,Brand,Original Price,Discounted Price,Stock
Tomato-2.0 KG,KSA,9.9,5.5,16
Tomato-1.5 KG,KSA,7.43,4.13,22
Tomato-1.0 KG,KSA,4.95,2.75,32
Tomato-500 G,KSA,2.48,1.38,65
Blueberry-125 G,Driscoll's USA,8.95,7.499999999999999,224
Clementine With Leaves-2.0 KG,Spain,39.9,19.979999999999997,5
Clementine With Leaves-1.5 KG,Spain,29.92,14.980000000000002,6
Clementine With Leaves-1.0 KG,Spain,19.95,9.989999999999998,10
Clementine With Leaves-500 G,Spain,9.98,5.0,20
Clementine With Leaves-250 G,Spain,4.99,2.5,46
Unsalted Natural Butter-3 × 100G,Almarai,21.95,17.5,308
Unsalted Natural Butter-50G,Almarai,4.95,4.95,27
Unsalted Natural Butter-1Kg,Almarai,59.95,59.95,23
Unsalted Natural Butter-200G,Almarai,15.95,15.95,188
Unsalted Natural Butter-100G,Almarai,8.95,8.95,432
Unsalted Natural Butter-100×10G,Almarai,59.95,59.95,0
Unsalted Natural Butter-4×100G,Almarai,23.5,23.5,0
Unsalted Natural Butter-400G,Almarai,26.5,26.5,0
Onion White-2.0 KG,KSA,13.9,7.5,41
Onion White-1.5 KG,KSA,10.43,5.63,55
Onion White-1.0 KG,KSA,6.95,3.75,82
Onion White-500 G,KSA,3.48,1.88,166
Onion White-250 G,KSA,1.74,0.94,332
Premium Labneh Full Fat-700G,Almarai,25.25,13.99,151
Premium Labneh Full Fat-400G,Almarai,13.95,10.5,237
Premium Labneh Full Fat-3×180G,Almarai,14.95,14.95,0
Grape White Seedless-2.0 KG,China,35.9,25.979999999999997,5
Grape White Seedless-1.5 KG,China,26.93,19.49,6
Grape White Seedless-1.0 KG,China,17.95,12.989999999999998,10
Grape White Seedless-500 G,China,8.98,6.5,20
Grape White Seedless-250 G,China,4.49,3.25,40
Cooking Cream Full Fat-1L,Almarai,27.95,27.95,217
Cooking Cream Full Fat-500ML,Almarai,16.95,12.989999999999998,454
Cooking Cream Full Fat-250ML,Almarai,8.95,8.95,0
Unsalted Butter-6×50G,Lurpak,26.5,26.5,19
Unsalted Butter-100G,Lurpak,9.5,5.0,68
Unsalted Butter-400G,Lurpak,29.95,29.95,85
Unsalted Butter-200G,Lurpak,17.5,17.5,0
Romaine Lettuce-2.0 KG,KSA,11.9,11.9,5
Romaine Lettuce-1.5 KG,KSA,8.93,8.93,6
Romaine Lettuce-1.0 KG,KSA,5.95,5.95,11
Chicken Breast Fillet-450 G,Al Youm,23.5,19.75,88
Spreadable Cream Cheese Jar-1100G,Puck,40.95,40.95,7
Spreadable Cream Cheese Jar-2×500G,Puck,43.5,19.99,93
Spreadable Cream Cheese Jar-240G,Puck,10.95,10.95,26
Spreadable Cream Cheese Jar-140G,Puck,6.95,6.95,21
Spreadable Cream Cheese Jar-500G,Puck,23.95,23.95,624
Spreadable Cream Cheese Jar-910G,Puck,37.95,37.95,20
Spreadable Cream Cheese Jar-2×900G,Puck,63.5,63.5,0
Fine Sugar-5Kg,Alosra,23.5,14.99,158
Fine Sugar-10Kg,Alosra,44.95,44.95,100
Squash Butternut-2.0 KG,KSA,13,13.0,5
Squash Butternut-1.5 KG,KSA,9.75,9.75,7
Squash Butternut-1.0 KG,KSA,6.5,6.5,10
Squash Butternut-500 G,KSA,3.25,3.25,21
Raspberry-125 G,Driscoll's USA,19.95,14.989999999999998,47
Fresh Veal Ground-2.0 KG,KSA,145.9,129.98000000000002,5
Fresh Veal Ground-1.5 KG,KSA,109.43,97.49000000000001,6
Fresh Veal Ground-1.0 KG,KSA,72.95,64.99000000000001,10
Fresh Veal Ground-500 G,KSA,36.48,32.5,20
Organic Apple Gala-2.0 KG,Italy,25.9,15.979999999999999,5
Organic Apple Gala-1.5 KG,Italy,19.43,11.989999999999998,6
Organic Apple Gala-1.0 KG,Italy,12.95,7.989999999999999,10
Organic Apple Gala-500 G,Italy,6.48,4.0,20
Chicken Breast Boneless-450 G,Tanmiah,23.25,18.990000000000002,55
Strawberry-250 G,Egypt,4.5,2.99,308
Shredded Mozzarella Cheese-900G,President,50.95,50.95,13
Shredded Mozzarella Cheese-450G,President,26.95,23.99,34
Shredded Mozzarella Cheese-200G,President,12.5,11.5,34
